Word,Count
shipping,1077
order,795
client,535
reshipping,529
refund,421
case,314
refunding,222
due,184
day,134
address,128
food,126
received,118
courtesy,100
product,88
delay,85
paid,83
cost,80
time,79
shipped,77
please,76
back,76
placed,70
approved,70
charge,65
issue,63
one,62
delivered,59
clinic,58
fee,56
12,54
would,54
ship,54
customer,52
business,50
nd,50
item,50
get,49
called,48
upset,47
correct,47
sent,47
qa,47
angela,44
wrong,44
lead,43
days,43
us,41
error,41
emily,41
reship,40
charged,40
package,40
next,40
since,39
got,37
new,37
fedex,37
never,34
ordered,33
medication,33
pet,33
bag,33
still,32
call,32
original,31
agent,31
box,31
temp,31
cory,30
send,30
didn't,29
autoship,28
escalated,28
receive,28
delayed,27
like,27
usps,27
oos,27
2nd,26
today,26
returned,25
instead,25
dog,25
vet,24
refunded,24
expedited,24
owner,24
incorrect,23
see,23
20%,23
delays,22
clients,22
1995,21
jenae,21
heidi,21
dry,21
sensitive,21
delivery,20
1495,20
said,20
